"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13_1a","fin13_1b","fin13_1c","fin13_1d","fin13_1e","fin13_1f","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Nigeria","NGA",182358305,0.812816032968578,1,20,2,1,1,1,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,1,,,,,,,,,,1,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,3,1,3,1,3,,0,0,4,4,4,4,4,5,1,2,0,0
"Nigeria","NGA",189983300,0.777928040198046,2,50,2,4,1,2,1,1,1,2,2,1,2,,1,1,2,,,,1,1,2,,1,,,,,,,,,,2,2,2,2,2,2,,,,,2,,,1,1,2,,,,1,1,,2,2,2,2,,6,2,2,1,1,,,2,,,,1,2,1,2,,,1,1,1,1,,,2,2,2,,,,,2,,,,,,1,2,1,1,4,1,,1,0,1,4,4,4,1,1,1,1,1,0
"Nigeria","NGA",134173456,1.33843859246097,1,23,2,4,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,1,2,2,3,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,2,4,,2,,0,0,4,4,4,4,4,5,2,2,0,0
"Nigeria","NGA",133272511,0.463378224560915,2,27,2,5,1,2,1,1,1,1,1,1,1,1,1,1,2,,,,1,1,1,1,1,,,,,,,,,,2,2,1,1,2,1,,,,,1,2,,1,1,2,,,,1,2,,2,2,2,2,,1,3,3,1,1,,,1,2,2,2,1,2,2,,,1,1,2,1,1,,,2,2,2,,,,,2,,,,,,1,3,3,3,,3,,1,0,1,4,4,4,2,1,1,1,1,1
"Nigeria","NGA",195787893,2.6491316134986,1,19,1,4,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,2,4,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,2,1,1,,0,1,4,4,4,4,4,5,2,2,0,0
"Nigeria","NGA",183601701,0.340910069104178,2,40,2,2,2,1,1,1,0,1,2,1,2,,2,2,2,,,,1,2,1,1,1,,,,,,,,,,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,1,,2,1,2,1,,2,1,1,1,2,1,2,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,1,1,4,4,4,4,2,1,1,2,1,0
"Nigeria","NGA",141125945,1.39376613607795,2,15,1,2,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,8,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,5,3,4,,0,0,4,4,4,4,4,5,2,2,0,0
"Nigeria","NGA",191782973,2.16208114297439,1,24,2,4,2,1,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,2,,,,,,,,,,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,3,3,1,,1,0,4,4,4,4,4,5,1,2,0,0
"Nigeria","NGA",184348918,0.498303907687817,1,25,2,1,1,1,0,0,0,,,2,,,,,,,,,,,,,,1,1,2,2,2,2,1,2,2,1,1,2,1,2,1,,,,,2,,,2,2,2,,,,1,2,,1,2,2,2,2,7,,,2,,,,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,1,0,2,4,4,4,4,5,2,2,0,0
"Nigeria","NGA",208835804,0.239411142999495,2,31,2,1,1,1,1,1,0,2,2,1,1,2,2,2,2,,,,1,1,1,1,1,,,,,,,,,,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,1,1,,,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,1,4,4,4,4,2,1,1,1,1,0
"Nigeria","NGA",136763973,0.851909263906518,2,20,2,3,1,2,1,1,1,1,2,1,1,1,1,1,2,,,,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,2,1,1,2,,1,1,1,1,2,,2,1,2,1,2,2,2,2,5,1,1,1,1,,,1,2,1,2,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,1,2,1,,1,0,4,4,4,4,4,1,1,1,1,1
"Nigeria","NGA",119896505,0.223275257178175,2,28,2,3,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,,,,,2,,,2,1,2,,,,2,2,,2,2,2,1,,7,,,2,,,,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,2,1,1,1,1,,0,1,2,4,4,4,4,5,1,2,0,0
"Nigeria","NGA",154579218,0.398105328864667,2,27,2,5,1,2,1,1,1,2,2,1,1,1,1,1,2,,,,1,2,1,1,1,,,,,,,,,,,,,,,,1,2,2,1,2,2,,2,1,2,,,,2,2,2,1,2,2,2,2,2,2,1,1,1,,,1,1,,,1,2,2,,,1,1,2,1,2,,,2,2,2,,,,,2,,,,,,3,2,2,2,3,2,,1,1,1,4,4,4,2,1,1,1,1,1
"Nigeria","NGA",149092571,3.69132718271346,2,45,1,2,1,2,1,1,0,2,2,1,3,,2,2,3,,,,1,3,3,,3,,,,,,,,,,,,,,,,,,,,2,,,3,3,2,,,,2,3,3,2,2,2,1,,2,1,1,1,3,1,2,3,,,,2,,,,,,2,,,,,,,2,2,,,,,3,,,,,,1,1,1,2,3,1,,0,1,4,4,4,5,4,3,1,3,0,0
"Nigeria","NGA",144040017,0.238089755561425,2,35,2,4,1,2,1,1,0,2,2,1,2,,2,1,2,,,,1,1,1,1,1,,,,,,,,,,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,1,,2,2,2,2,,1,2,3,1,2,1,2,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,2,2,2,4,2,,1,0,4,4,4,4,2,1,1,1,1,0
"Nigeria","NGA",136255514,0.593847963916351,2,31,2,2,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,3,2,2,2,2,1,2,2,1,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,5,1,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,1,1,,0,1,4,4,4,4,4,5,1,2,0,0
"Nigeria","NGA",145395399,0.912810560425356,2,26,2,2,1,2,1,1,0,2,2,1,2,,2,2,2,,,,1,2,1,2,1,,,,,,,,,,2,2,2,1,2,2,,,,,2,,,2,1,2,,,,2,2,,2,1,2,1,,8,,,2,,,,1,2,1,2,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,2,,1,1,4,4,4,4,2,3,1,1,1,0
"Nigeria","NGA",193633605,0.223275257167535,2,30,2,5,1,2,1,1,0,2,2,2,,,2,1,4,,,,2,,2,,1,,,,,,,,,,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,1,3,1,,1,1,4,4,4,4,2,5,1,2,0,0
"Nigeria","NGA",119910326,0.525511452039832,2,22,2,2,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,1,2,1,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,1,2,2,2,2,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,1,0,4,4,4,4,4,5,1,2,0,0
"Nigeria","NGA",174445253,1.11757071816152,2,21,2,4,1,1,1,1,1,2,2,1,2,,1,3,3,,,,1,3,1,3,1,,,,,,,,,,,,,,,,3,3,2,1,2,,,3,1,2,,,,2,1,3,1,2,2,1,3,2,1,1,3,,,,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,1,4,1,,1,1,4,4,4,4,4,1,1,1,1,0
"Nigeria","NGA",171824062,0.287706170547166,1,17,2,5,1,2,1,1,0,2,2,1,2,,2,2,2,,,,1,1,1,2,1,,,,,,,,,,1,1,1,1,2,2,,,,,2,,,2,2,1,2,1,,1,2,,2,2,2,2,,2,3,2,1,2,2,2,1,2,1,1,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,3,2,,1,0,4,4,4,4,4,2,1,1,0,0
"Nigeria","NGA",113825293,0.223275257178175,2,25,2,3,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,1,2,1,2,2,1,1,2,,,,,2,,,2,2,2,,,,2,2,,1,2,2,2,1,1,2,1,1,2,1,2,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,2,3,3,,3,,1,1,4,4,4,4,4,3,1,1,0,0
"Nigeria","NGA",162024033,0.338772308346283,2,37,2,5,2,2,1,1,0,2,2,1,2,,2,1,2,,,,1,1,1,1,1,,,,,,,,,,1,2,2,1,2,1,,,,,2,,,2,2,2,,,,1,2,,1,2,2,2,2,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,3,1,1,3,1,,1,0,4,4,4,4,4,5,1,1,0,0
"Nigeria","NGA",166812271,1.26962357630074,2,18,2,3,1,1,1,1,0,2,2,1,2,,2,1,2,,,,1,2,1,2,1,,,,,,,,,,2,2,2,1,1,2,,,,,2,,,2,2,2,,,,2,1,,1,1,2,1,2,1,1,1,2,,,,1,2,1,1,2,,,,,,1,2,2,2,1,,,2,2,,,,,1,1,2,2,1,,1,1,1,2,2,1,,1,1,2,4,4,2,4,2,1,1,0,0
"Nigeria","NGA",143081624,1.66429119953482,1,40,1,4,2,2,1,1,0,2,2,1,1,2,2,1,2,,,,1,1,1,1,1,,,,,,,,,,2,2,2,2,2,2,,,,,2,,,2,1,2,,,,2,2,,2,2,2,1,,2,2,3,1,1,,,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,1,3,1,4,1,,1,1,4,4,4,4,2,1,1,2,1,0
"Nigeria","NGA",148954801,1.53544218773222,2,30,1,5,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,1,1,2,2,2,2,2,2,1,2,1,2,1,2,,,,,2,,,2,2,2,,,,1,2,,2,2,2,1,,2,1,1,2,,,,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,1,2,2,2,1,,1,1,2,1,1,1,,1,1,4,4,4,2,4,1,1,2,0,0
"Nigeria","NGA",177381378,0.305882213270569,2,80,2,5,1,2,1,1,0,2,2,1,2,,2,2,2,,,,1,1,1,2,1,,,,,,,,,,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,4,1,,1,2,2,2,2,2,2,2,1,1,,,1,1,,,1,1,2,2,,,2,,,,,,,2,2,,,,,2,,,,,,2,4,3,4,,2,,1,0,4,4,4,4,1,1,2,2,1,0
"Nigeria","NGA",186739700,2.35677481800645,1,16,2,2,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,8,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,1,2,2,2,1,,3,2,3,3,,1,,0,0,4,4,4,2,4,5,2,2,0,0
"Nigeria","NGA",113277981,0.397340746989003,1,30,3,5,1,1,1,1,0,2,2,1,1,1,1,1,2,,,,1,1,1,1,1,,,,,,,,,,2,2,2,2,2,2,,,,,1,2,,2,2,1,2,1,,2,1,,2,2,2,1,,1,2,1,1,1,,,1,1,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,3,3,2,,1,1,4,4,4,4,1,1,1,1,1,1
"Nigeria","NGA",193028922,1.28197148021241,1,41,2,1,1,2,1,1,0,2,2,1,1,2,1,1,2,,,,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,2,,,2,1,2,,,,2,2,2,2,2,3,3,,1,1,3,3,,,,4,,,,2,,,,,,3,,,,,,,2,2,,,,,2,,,,,,3,3,2,2,5,3,,0,0,5,4,4,4,4,6,2,2,1,0
"Nigeria","NGA",137131248,0.299599189613921,2,24,2,4,2,2,1,1,0,2,2,1,2,,1,1,2,,,,2,,1,1,2,,,,,,,,,,1,1,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,1,4,4,4,4,2,5,1,1,1,0
"Nigeria","NGA",191086105,0.470328461716059,1,20,2,2,1,2,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,2,1,,2,2,2,,,,2,2,2,1,2,2,1,2,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,2,4,2,,1,1,4,4,4,4,4,5,1,1,1,1
"Nigeria","NGA",165325998,2.62060563953531,1,19,1,3,1,1,0,0,0,,,2,,,,,,,,,,,,,,3,1,3,1,2,2,1,1,1,2,1,1,1,2,1,,,,,2,,,2,2,2,,,,2,2,,1,2,2,2,2,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,1,1,2,2,1,,4,2,3,3,,3,,1,0,4,4,4,2,4,5,2,2,0,0
"Nigeria","NGA",176093245,0.270986314596714,2,40,3,1,1,2,1,1,0,2,2,1,2,,2,1,2,,,,2,,2,,1,,,,,,,,,,2,1,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,5,3,3,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,1,1,1,2,1,,0,0,4,4,4,4,4,5,2,2,0,0
"Nigeria","NGA",195272803,1.0810405714872,1,23,2,3,1,2,1,1,0,2,2,1,2,,2,1,2,,,,1,2,1,2,1,,,,,,,,,,2,2,1,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,1,1,2,2,1,,3,2,3,2,2,3,,0,1,4,4,4,2,4,5,1,2,0,0
"Nigeria","NGA",188002260,1.10883094554061,1,40,1,1,1,2,1,1,0,1,2,1,2,,2,2,2,,,,1,1,1,1,1,,,,,,,,,,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,5,1,1,2,,,,1,2,1,2,1,2,2,,,1,2,,,,,,,2,2,,,,,1,1,2,2,1,,2,2,1,2,3,1,,1,1,4,4,4,2,2,3,1,2,0,0
"Nigeria","NGA",167071439,0.226696550231968,2,35,2,5,1,2,1,1,0,1,2,1,1,2,1,1,2,,,,1,1,1,1,1,,,,,,,,,,2,1,2,1,1,2,,,,,1,2,,1,1,1,1,2,,2,2,,2,2,2,2,,2,2,2,1,1,,,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,2,3,1,,1,0,4,4,4,4,2,1,1,1,1,1
"Nigeria","NGA",132555223,0.397694764513601,1,38,1,3,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,7,,,1,2,1,2,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,1,4,4,4,4,2,3,1,2,0,0
"Nigeria","NGA",189587824,0.305410121899894,2,18,2,4,1,2,1,1,0,2,2,1,2,,2,1,2,,,,1,2,1,2,1,,,,,,,,,,2,2,2,2,1,2,,,,,2,,,2,2,2,,,,2,1,,1,2,2,2,2,1,3,2,1,1,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,2,3,3,,3,,1,0,4,4,4,4,2,1,1,2,1,0
"Nigeria","NGA",116976458,0.226321872429629,1,35,2,2,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,0,1,4,4,4,4,4,5,1,2,0,0
"Nigeria","NGA",204719792,2.64171473578447,2,52,1,4,1,1,1,1,0,1,2,2,,,2,2,2,,,,2,,2,,2,,,,,,,,,,2,2,3,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,7,,,2,,,,1,2,1,2,2,,,,,,2,,,,,,,2,2,,,,,1,1,2,2,1,,1,1,1,2,2,2,,0,1,4,4,4,2,4,3,1,2,0,0
"Nigeria","NGA",170526741,0.233673770130894,1,31,2,5,1,2,1,1,0,1,2,1,2,,2,2,2,,,,1,1,1,1,2,,,,,,,,,,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,4,1,1,2,,,,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,1,1,2,2,2,2,1,1,1,1,3,1,,1,1,4,4,4,3,2,1,1,1,1,0
"Nigeria","NGA",124719959,2.63512386456439,1,40,1,3,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,1,1,1,1,2,1,2,1,1,2,1,1,2,2,,,,,2,,,1,2,2,,,,2,2,,2,2,1,2,,7,,,2,,,,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,2,1,1,1,1,,0,1,4,4,4,4,2,1,1,2,0,0
"Nigeria","NGA",119163426,0.943299712674073,2,28,2,2,1,1,1,1,0,2,2,1,1,1,2,1,2,,,,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,2,1,,2,2,2,,,,2,1,2,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,2,4,1,4,3,1,,1,0,2,4,4,4,4,5,1,1,1,1
"Nigeria","NGA",155233333,0.649708568992319,1,50,1,4,1,2,1,1,0,2,2,2,,,2,2,2,,,,2,,1,2,2,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,2,1,2,1,1,2,1,3,2,1,1,,,2,,,,1,1,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,2,3,1,2,4,1,,1,1,4,4,4,4,1,1,1,2,1,0
"Nigeria","NGA",147513424,0.71582817457205,2,42,2,5,1,2,1,1,0,2,2,1,1,2,1,1,2,,,,1,1,1,1,2,,,,,,,,,,2,2,1,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,1,2,,4,1,1,1,1,,,1,1,,,1,2,2,,,1,1,2,1,2,,,1,2,2,,,,,2,,,,,,1,1,1,1,4,2,,0,1,1,4,4,4,2,1,1,2,1,0
"Nigeria","NGA",119960792,1.01103552159732,1,60,2,3,2,1,1,1,0,1,1,2,,,1,2,2,,,,1,2,1,1,1,,,,,,,,,,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,1,1,,1,2,2,2,2,2,3,3,1,2,1,2,1,1,,,2,,,,,,1,2,2,2,2,2,,2,1,1,2,,,1,1,2,2,1,,3,3,3,3,,3,,1,0,3,4,1,2,4,1,1,2,1,0
